;object_name;chain;object_type;address;number;street;coord;district
7680;макдоналдс;да;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 14;87;каширское шоссе;37.627193 55.663745;район Нагатино-Садовники
7681;kfc;да;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 14;87;каширское шоссе;37.627193 55.663745;район Нагатино-Садовники
7682;иль патио планета суши;да;ресторан;город москва, каширское шоссе, дом 14;160;каширское шоссе;37.627193 55.663745;район Нагатино-Садовники
7683;бургер кинг;да;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 14;87;каширское шоссе;37.627193 55.663745;район Нагатино-Садовники
7684;крошка картошка;да;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 14;87;каширское шоссе;37.627193 55.663745;район Нагатино-Садовники
7685;кафе «теремок»;да;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 14;86;каширское шоссе;37.627193 55.663745;район Нагатино-Садовники
7686;каффе «wokker»;да;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 14;87;каширское шоссе;37.627193 55.663745;район Нагатино-Садовники
7687;старбакс;да;кафе;город москва, каширское шоссе, дом 14;20;каширское шоссе;37.627193 55.663745;район Нагатино-Садовники
7695;буфет «иль джорно»;нет;буфет;город москва, варшавское шоссе, дом 9, строение 1;7;варшавское шоссе;37.625594 55.699467;Донской район
7696;кафе «иль джорно»;нет;кафе;город москва, варшавское шоссе, дом 9, строение 1;98;варшавское шоссе;37.625594 55.699467;Донской район
7697;кафе «мэри джейн»;нет;кафе;город москва, варшавское шоссе, дом 9, строение 1;90;варшавское шоссе;37.625594 55.699467;Донской район
7698;буфет «артекс»;нет;кафе;город москва, варшавское шоссе, дом 9, строение 1;24;варшавское шоссе;37.625594 55.699467;Донской район
7699;ёрш;да;ресторан;город москва, варшавское шоссе, дом 86;98;варшавское шоссе;37.618812 55.650241;Нагорный район
7700;ресторан «тануки»;да;ресторан;город москва, варшавское шоссе, дом 86;98;варшавское шоссе;37.618812 55.650241;Нагорный район
7702;кафе «шоколадница»;да;кафе;город москва, варшавское шоссе, дом 160;20;варшавское шоссе;37.59524 55.582986;район Чертаново Южное
7703;бургер кинг;да;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 160;70;варшавское шоссе;37.59524 55.582986;район Чертаново Южное
7704;семейный ресторан «космик»;да;кафе;город москва, варшавское шоссе, дом 160;80;варшавское шоссе;37.59524 55.582986;район Чертаново Южное
7705;кафе «шоколадница»;да;кафе;город москва, каширское шоссе, дом 26;60;каширское шоссе;37.64613 55.653314;район Москворечье-Сабурово
7706;кафе «kfc»;да;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 26;24;каширское шоссе;37.64613 55.653314;район Москворечье-Сабурово
7707;суши «boofet»;нет;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 26;24;каширское шоссе;37.64613 55.653314;район Москворечье-Сабурово
7708;кафе иль патио «il patio»;да;кафе;город москва, каширское шоссе, дом 26;176;каширское шоссе;37.64613 55.653314;район Москворечье-Сабурово
7709;кафе «макдоналдс»;да;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 26;24;каширское шоссе;37.64613 55.653314;район Москворечье-Сабурово
